Fall;Gewicht;Erreichbarkeit;STICH;f1;f2_question;f2A1;f2A2;f2A3;f2A4;f2A5;f3_question;f3A1;f3A2;f3A3;f3A4;f3A5;f3A6;f4_question;f4A1;f4A2;f4A3;f4A4;f4A5;f4A6;f4A7;f4A8;f4A9;f4A10;f4A11;f5;f6_question;f6A1_1;f6A2_1;f6A3_1;f6A4_1;f6A5_1;f7;f8_question;f8A1_1;f8A2_1;f8A3_1;f8A4_1;f8A5_1;f8A6_1;f8A7_1;f8A8_1;f8A9_1;f9_question;f9A1_1;f9A2_1;f9A3_1;f9A4_1;f10_question;f10A1;f10A2;f10A3;f10A4;f10A5;f10A6;f11;f11b;f11c;f12;f13_question;f13A1_1;f13A2_1;f13A3_1;f14;f14b;f15;f16;f17;f18;f19_question;f19A1_1;f19A2_1;f19A3_1;f19A4_1;f19A5_1;f19A6_1;f20_question;f20A1_1;f20A2_1;f20A3_1;f20A4_1;f20A5_1;f20A6_1;f20A7_1;f20A8_1;f20A9_1;f20A10_1;f20A11_1;f21_question;f21A1;f21A2;f21A3;f21A4;f21A5;f21A6;f21A7;f21A8;f21A9;f21A10;f21A11;f21A12;f21A13;f22;f23_question;f23A1_1;f23A2_1;f23A3_1;f23A4_1;f24;f24b_question;f24bA1;f24bA2;f24bA3;f24bA4;f24bA5;f24bA6;f24bA7;f25;s1;s2A1;s2neu;S2b;s3A1;s4A1;s5;s6;s6b;s7;BLX;GGK7;GKBIK10
1010;0,88284507;aus DatenschutzgrÅnden gelîscht ;2;2;;0;0;0;0;1;;1;1;1;1;0;0;;1;1;1;0;1;0;1;0;0;0;0;3;;2;3;2;1;3;2;;1;1;2;1;1;1;1;2;2;;4;2;2;3;;1;0;0;0;0;0;1;4;;1;;3;2;1;2;;1;1;2;3;;3;2;1;1;1;1;;9;1;1;3;1;1;9;1;2;3;3;;1;1;1;0;1;0;1;1;0;0;0;0;;2;;3;1;1;1;3;;;;;;;;;2;1;aus DatenschutzgrÅnden gelîscht ;3;aus DatenschutzgrÅnden gelîscht ;3;2;4;1;2;5;5;3;7
1011;2,07575169;aus DatenschutzgrÅnden gelîscht ;2;2;;0;1;0;0;0;;1;1;1;1;0;0;;1;0;1;1;1;0;1;1;0;0;0;4;;4;3;2;1;4;2;;2;1;1;3;2;1;2;2;2;;4;2;3;3;;1;0;0;0;0;0;1;2;;2;;4;4;1;2;;2;1;2;3;;9;2;1;2;1;1;;2;1;1;1;1;1;9;1;2;2;2;;0;1;1;0;1;1;0;1;0;0;0;0;;1;;1;3;3;9;1;;0;1;1;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;3;aus DatenschutzgrÅnden gelîscht ;4;2;4;1;3;5;5;5;6
1012;0,92113983;aus DatenschutzgrÅnden gelîscht ;2;2;;1;0;1;0;0;;1;0;0;1;0;0;;0;0;1;0;0;0;0;0;0;0;0;2;;4;2;3;3;4;1;;1;2;1;2;1;2;1;1;1;;1;;;2;;1;0;0;0;0;0;3;;;1;;4;2;1;2;;2;2;2;1;;2;2;4;3;1;9;;1;1;2;1;2;1;2;1;1;2;3;;0;0;0;0;1;1;1;1;1;0;0;0;;2;;1;3;3;3;1;;1;1;1;0;0;0;;2;1;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;2;2;3;5;;5;5;6;8
1013;0,72063107;aus DatenschutzgrÅnden gelîscht ;1;2;;0;1;0;0;0;;1;1;1;1;0;0;;1;0;1;0;1;0;1;1;0;0;0;5;;3;3;2;2;3;1;;2;2;9;2;1;1;2;2;1;;1;2;9;1;;1;0;1;0;0;0;2;;1;1;;3;9;1;2;;3;;3;1;;1;3;4;4;4;2;;3;2;1;1;1;1;1;3;1;2;3;;0;1;1;0;0;1;0;1;1;0;0;0;;1;;2;3;3;3;1;;1;1;0;0;0;0;;1;1;aus DatenschutzgrÅnden gelîscht ;6;aus DatenschutzgrÅnden gelîscht ;2;2;4;5;;3;11;7;10
1014;0,69091821;aus DatenschutzgrÅnden gelîscht ;2;2;;0;0;0;1;0;;1;1;1;1;0;0;;0;0;1;0;1;0;0;0;0;0;0;3;;2;2;3;2;2;1;;2;1;1;2;3;3;1;9;1;;1;2;1;2;;1;1;0;0;0;0;1;3;;1;;4;1;2;2;;2;1;4;4;;2;4;3;3;2;1;;1;2;1;1;1;3;3;1;2;3;2;;1;1;0;1;1;1;1;1;0;0;0;0;;3;;3;3;3;3;2;;;;;;;;;1;2;aus DatenschutzgrÅnden gelîscht ;4;aus DatenschutzgrÅnden gelîscht ;3;2;6;2;10;5;16;4;5
1015;0,59268442;aus DatenschutzgrÅnden gelîscht ;1;1;;0;0;0;1;0;;1;1;1;1;0;0;;1;0;1;1;1;0;1;0;0;0;0;3;;4;4;1;2;3;1;;1;1;2;3;3;1;1;1;1;;2;2;1;2;;1;0;1;0;0;0;1;4;;1;;4;1;2;2;;2;1;4;1;;2;4;4;4;4;4;;2;1;2;2;2;1;1;1;1;1;2;;1;1;1;1;0;1;1;0;1;0;0;0;;1;;1;3;3;3;2;;;;;;;;;2;1;aus DatenschutzgrÅnden gelîscht ;4;aus DatenschutzgrÅnden gelîscht ;2;2;5;1;4;6;8;3;7
1016;0,77291799;aus DatenschutzgrÅnden gelîscht ;1;2;;1;1;1;0;0;;1;1;1;1;0;0;;1;0;1;0;1;0;0;0;0;0;0;3;;3;2;1;2;4;3;;1;1;2;2;3;1;3;2;1;;2;2;3;2;;1;1;0;0;0;0;1;3;;1;;3;2;2;2;;1;1;3;1;;2;2;2;2;1;1;;2;2;2;2;3;1;2;1;1;2;2;;0;1;0;1;1;0;1;1;1;0;0;0;;3;;2;3;3;3;1;;0;1;0;0;0;0;;1;2;aus DatenschutzgrÅnden gelîscht ;6;aus DatenschutzgrÅnden gelîscht ;2;2;5;5;;4;12;3;5
1017;1,20918078;aus DatenschutzgrÅnden gelîscht ;2;1;;0;1;0;0;0;;1;1;0;1;0;0;;1;0;1;1;1;0;1;0;0;0;0;1;;2;2;3;2;3;3;;1;2;2;1;2;1;2;1;2;;2;1;;3;;1;1;0;0;0;0;1;4;;1;;2;2;4;2;;1;1;3;2;;4;2;2;3;3;1;;2;2;1;2;3;3;3;2;3;2;3;;0;1;1;1;0;1;1;1;0;0;0;0;;2;;2;3;3;3;1;;0;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;3;aus DatenschutzgrÅnden gelîscht ;2;1;5;1;10;8;5;3;9
1018;0,63296193;aus DatenschutzgrÅnden gelîscht ;1;1;;0;0;0;1;0;;1;0;0;1;0;0;;1;0;1;1;1;0;0;0;0;0;0;2;;2;4;1;3;4;3;;1;1;3;2;2;1;1;3;1;;2;;;2;;0;1;0;0;0;0;2;;2;1;;3;4;1;2;;3;;3;3;;1;1;4;4;4;3;;2;1;1;2;2;2;3;2;3;2;3;;1;1;1;1;1;1;1;1;1;0;0;0;;2;;3;3;3;2;1;;1;1;1;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;5;aus DatenschutzgrÅnden gelîscht ;5;4;4;9;;6;5;4;9
1019;0,60985627;aus DatenschutzgrÅnden gelîscht ;1;2;;0;0;0;1;0;;1;1;0;0;0;0;;1;0;1;1;1;1;1;0;0;0;0;3;;2;4;1;2;4;3;;1;1;3;1;2;2;1;1;1;;1;1;;;;1;0;0;0;0;0;1;4;;1;;2;1;2;2;;1;1;3;3;;4;3;4;1;2;1;;2;1;2;1;1;1;2;1;2;2;2;;1;1;1;1;0;1;0;1;1;0;0;0;;2;;2;3;3;3;1;;1;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;1;aus DatenschutzgrÅnden gelîscht ;5;4;7;3;;6;5;5;10
1020;1,46244487;aus DatenschutzgrÅnden gelîscht ;1;2;;1;1;0;0;0;;1;1;1;1;0;0;;1;0;1;1;1;0;0;0;0;0;0;4;;3;2;2;1;4;4;;1;1;1;2;1;2;1;2;1;;9;1;4;1;;0;1;0;0;0;0;1;4;;1;;3;2;1;2;;2;2;3;1;;2;1;3;2;2;2;;2;1;2;1;2;1;1;1;2;2;2;;0;1;1;0;1;1;1;1;0;0;0;0;;2;;1;3;3;3;2;;;;;;;;;2;1;aus DatenschutzgrÅnden gelîscht ;5;aus DatenschutzgrÅnden gelîscht ;2;2;3;1;4;6;6;2;2
1021;0,78180264;aus DatenschutzgrÅnden gelîscht ;1;2;;0;1;0;0;0;;1;0;0;1;0;0;;1;0;1;1;1;0;1;1;0;0;0;2;;1;2;4;1;3;3;;2;9;1;3;1;1;9;1;1;;2;;;2;;0;0;0;1;0;0;1;3;;1;;4;2;1;1;1;1;1;2;4;;4;1;3;3;2;4;;1;1;1;2;2;9;1;1;1;1;2;;1;1;1;1;1;1;1;1;1;0;0;0;;1;;2;3;3;3;1;;1;1;1;0;0;0;;2;1;aus DatenschutzgrÅnden gelîscht ;5;aus DatenschutzgrÅnden gelîscht ;4;3;4;1;3;8;9;2;4
1022;0,38039299;aus DatenschutzgrÅnden gelîscht ;1;2;;0;0;0;1;0;;1;1;1;1;0;0;;1;0;1;1;1;1;1;0;0;0;0;3;;1;2;2;1;3;1;;1;1;1;1;1;1;1;3;1;;2;1;3;2;;1;1;1;0;0;0;1;3;;1;;4;1;1;2;;2;2;3;1;;1;3;3;3;2;1;;1;1;1;1;1;1;2;1;1;2;2;;0;1;1;1;1;1;1;1;1;0;0;0;;2;;3;3;3;3;1;;1;1;1;0;0;0;;2;1;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;2;2;5;5;;5;4;7;10
1023;0,29469115;aus DatenschutzgrÅnden gelîscht ;1;4;;1;1;0;0;0;;0;1;1;1;0;0;;1;0;1;0;1;0;0;0;0;0;0;2;;2;3;3;1;4;2;;2;2;3;2;2;1;1;2;1;;;1;1;3;;1;1;0;0;0;0;3;;;2;;4;4;2;2;;3;;1;2;;4;9;3;1;2;2;;2;1;2;2;2;2;3;3;9;9;2;;1;0;1;0;1;1;1;0;1;0;0;0;;2;;1;3;3;3;1;;1;0;1;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;1;1;5;5;;4;14;6;8
1024;0,57070720;aus DatenschutzgrÅnden gelîscht ;1;3;;0;0;0;1;0;;0;0;0;0;0;1;;1;0;1;1;0;0;1;0;0;0;0;3;;3;3;2;3;1;2;;1;1;2;1;2;1;3;2;9;;;;;;;1;0;0;0;0;0;2;;2;4;;3;1;1;2;;1;1;3;1;;2;2;2;3;1;1;;1;1;1;1;3;1;1;1;2;1;2;;1;1;1;1;1;1;1;0;1;0;0;0;;2;;2;3;3;2;1;;1;1;1;0;0;0;;2;1;aus DatenschutzgrÅnden gelîscht ;5;aus DatenschutzgrÅnden gelîscht ;5;4;3;1;3;7;5;4;9
1025;0,59170332;aus DatenschutzgrÅnden gelîscht ;1;3;;1;0;1;0;0;;1;1;1;1;0;0;;1;0;1;0;0;1;1;0;0;0;0;4;;2;2;3;2;4;1;;2;1;1;1;2;1;1;2;2;;1;3;2;1;;0;0;0;1;0;0;1;3;;1;;2;1;2;1;1;1;1;2;1;;1;1;4;4;4;2;;3;1;1;2;1;1;2;1;2;2;2;;1;1;1;1;0;1;0;1;1;0;0;0;;2;;2;3;3;3;1;;0;1;0;0;0;0;;1;2;aus DatenschutzgrÅnden gelîscht ;5;aus DatenschutzgrÅnden gelîscht ;1;1;3;12;;3;6;3;9
1026;0,65993179;aus DatenschutzgrÅnden gelîscht ;1;1;;0;0;0;1;0;;1;1;0;1;0;0;;1;0;1;0;1;0;0;1;0;0;0;3;;9;1;1;2;4;1;;2;2;2;1;2;2;2;9;2;;2;2;;2;;1;0;1;0;0;0;1;4;;1;;3;1;2;1;2;2;1;3;4;;1;1;2;3;2;1;;3;1;1;1;2;1;1;1;2;3;2;;0;1;1;0;0;1;1;1;1;0;0;0;;2;;1;3;3;3;2;;;;;;;;;2;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;1;1;3;5;;3;12;5;7
1027;0,55061113;aus DatenschutzgrÅnden gelîscht ;1;1;;1;1;0;0;0;;1;1;1;1;0;0;;0;0;1;0;1;0;0;0;0;0;0;4;;4;2;1;2;4;3;;2;2;3;1;2;1;1;1;1;;1;2;3;1;;1;0;0;0;0;0;1;2;;2;;2;2;1;2;;3;;2;1;;2;3;3;3;1;2;;1;1;1;1;1;1;1;1;1;2;2;;0;1;1;1;1;1;1;1;1;0;0;0;;2;;1;3;3;3;1;;0;1;0;0;0;0;;1;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;1;1;4;5;;5;15;3;5
1028;1,07944214;aus DatenschutzgrÅnden gelîscht ;1;2;;0;0;0;1;0;;0;1;0;1;0;0;;1;0;1;0;0;0;0;0;0;0;0;2;;2;4;2;2;9;2;;1;1;1;1;1;2;9;2;1;;;9;;9;;1;0;0;0;0;0;1;3;;1;;3;1;1;2;;2;2;2;3;;4;1;3;1;2;1;;1;1;1;1;1;9;9;1;2;2;2;;1;1;0;0;0;0;1;1;1;0;0;0;;2;;2;3;3;2;1;;1;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;2;2;3;5;;8;9;2;7
1029;1,13376278;aus DatenschutzgrÅnden gelîscht ;2;1;;0;0;0;1;0;;0;1;0;1;0;0;;1;0;1;1;1;0;0;1;0;0;0;2;;2;3;2;1;4;2;;3;1;2;2;2;1;2;3;1;;;1;;2;;1;0;0;0;0;0;1;3;;1;;2;1;2;1;1;1;1;2;3;;3;1;4;3;3;2;;2;2;1;2;2;1;1;1;2;2;2;;1;1;1;1;1;1;1;1;1;0;0;0;;1;;2;3;3;3;1;;1;1;1;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;3;aus DatenschutzgrÅnden gelîscht ;5;3;7;1;4;7;9;2;7
1030;1,01395608;aus DatenschutzgrÅnden gelîscht ;2;2;;1;0;0;0;0;;1;1;0;1;0;0;;1;0;1;1;1;0;1;0;0;0;0;4;;3;9;1;1;1;2;;1;2;1;2;1;2;2;1;2;;4;2;;4;;0;1;0;0;0;0;1;4;;1;;4;2;1;1;1;2;1;3;1;;4;1;4;1;3;2;;1;1;2;1;1;1;2;1;2;3;3;;1;1;1;1;1;1;0;1;1;0;0;0;;1;;3;3;3;3;1;;0;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;4;aus DatenschutzgrÅnden gelîscht ;1;1;5;1;10;5;5;6;10
1031;0,59899501;aus DatenschutzgrÅnden gelîscht ;1;1;;0;1;0;0;0;;1;1;0;1;0;0;;1;0;1;1;0;0;1;1;0;0;0;4;;4;2;1;1;4;3;;2;1;2;2;3;3;2;2;2;;2;1;;1;;1;1;0;0;0;0;1;4;;1;;3;1;2;2;;4;2;3;3;;2;3;4;4;3;1;;1;1;2;3;1;2;3;2;1;2;3;;1;0;1;0;0;1;0;1;1;0;0;0;;2;;1;3;3;2;1;;1;0;1;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;1;1;3;5;;3;16;5;7
1032;0,68537571;aus DatenschutzgrÅnden gelîscht ;1;2;;0;1;0;0;0;;0;1;0;1;0;0;;1;0;1;0;1;0;1;0;0;0;0;4;;2;1;4;1;1;2;;1;2;3;2;1;2;2;2;2;;;2;;1;;1;1;1;0;0;0;1;3;;1;;2;1;3;1;1;1;2;4;1;;2;2;3;4;1;1;;1;1;1;1;1;1;1;1;3;3;3;;1;1;1;1;1;1;1;1;1;0;0;0;;1;;3;3;3;3;1;;1;1;1;0;0;0;;2;1;aus DatenschutzgrÅnden gelîscht ;2;aus DatenschutzgrÅnden gelîscht ;3;3;5;8;;3;6;7;10
1033;1,31767309;aus DatenschutzgrÅnden gelîscht ;1;4;;0;0;0;1;0;;0;0;1;0;0;0;;1;0;1;0;1;0;0;0;0;0;0;2;;2;2;4;2;3;3;;1;2;9;2;2;1;1;2;1;;;;2;;;1;0;1;0;0;0;1;4;;1;;9;2;2;1;1;1;1;3;2;;3;2;4;2;2;2;;3;9;3;2;2;3;3;2;2;3;2;;1;1;1;1;1;1;1;1;1;0;0;0;;2;;2;3;3;3;1;;1;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;2;2;4;5;;3;3;3;7
1034;0,82746214;aus DatenschutzgrÅnden gelîscht ;1;2;;0;1;0;0;0;;1;1;0;1;0;0;;1;0;1;0;0;1;0;0;0;0;0;2;;2;3;3;1;2;3;;1;1;3;2;1;1;2;1;1;;1;2;;1;;1;1;1;0;0;0;2;;2;1;;4;2;2;2;;1;1;4;1;;4;1;9;4;4;2;;1;1;1;2;2;1;1;1;1;1;2;;0;1;0;0;1;1;0;1;1;0;0;0;;1;;2;3;3;3;2;;;;;;;;;1;2;aus DatenschutzgrÅnden gelîscht ;6;aus DatenschutzgrÅnden gelîscht ;2;2;5;2;7;5;5;5;6
1035;1,22905105;aus DatenschutzgrÅnden gelîscht ;2;2;;0;1;1;0;0;;1;1;1;1;0;0;;1;0;1;1;1;0;1;0;0;0;0;4;;3;2;3;1;2;3;;1;2;2;2;2;1;1;1;2;;1;1;2;1;;0;1;0;0;0;0;1;3;;1;;4;1;1;2;;1;1;4;1;;2;2;3;3;2;2;;1;2;1;1;2;2;2;1;2;1;2;;1;1;0;0;1;1;1;1;1;0;0;0;;2;;1;3;3;3;2;;;;;;;;;2;2;aus DatenschutzgrÅnden gelîscht ;4;aus DatenschutzgrÅnden gelîscht ;2;1;4;1;7;3;9;7;10
1036;0,77514591;aus DatenschutzgrÅnden gelîscht ;2;1;;0;0;0;1;0;;1;1;0;1;0;0;;1;0;1;0;1;0;1;0;0;0;0;3;;2;1;3;2;1;1;;1;9;1;1;2;1;2;2;2;;2;1;;2;;0;0;0;1;0;0;1;5;;1;;2;1;4;2;;1;1;3;4;;9;9;4;3;4;1;;9;1;1;2;1;1;2;1;1;1;2;;0;1;1;1;0;1;1;1;1;0;0;0;;3;;1;3;3;3;1;;0;1;0;0;0;0;;2;2;aus DatenschutzgrÅnden gelîscht ;1;aus DatenschutzgrÅnden gelîscht ;3;3;2;3;;4;9;4;6
1037;1,68971291;aus DatenschutzgrÅnden gelîscht ;1;1;;0;0;0;1;0;;0;1;0;1;0;0;;1;0;1;1;1;1;0;0;0;0;0;3;;3;1;4;3;3;1;;2;1;2;1;2;1;2;2;1;;;2;;2;;0;1;0;0;0;0;1;3;;1;;4;2;1;1;1;1;1;2;1;;2;3;4;4;4;1;;1;2;2;1;2;1;3;2;2;1;2;;0;1;1;1;1;1;0;1;1;0;0;0;;1;;9;3;3;3;2;;;;;;;;;1;2;aus DatenschutzgrÅnden gelîscht ;2;aus DatenschutzgrÅnden gelîscht ;2;2;5;8;;2;6;3;4
1038;0,28657559;aus DatenschutzgrÅnden gelîscht ;2;1;;0;1;0;0;0;;1;1;0;1;0;0;;1;0;1;0;1;0;1;0;0;0;0;2;;4;4;3;1;3;2;;1;1;9;1;1;1;2;1;2;;3;1;;1;;1;1;1;0;0;0;1;4;;1;;2;4;9;2;;1;1;2;1;;2;2;3;3;1;2;;2;1;2;1;2;1;3;1;2;2;1;;1;0;1;1;1;1;1;1;0;0;0;0;;2;;3;3;9;3;1;;1;0;0;0;0;0;;1;1;aus DatenschutzgrÅnden gelîscht ;7;aus DatenschutzgrÅnden gelîscht ;7;6;3;5;;8;2;7;10
